,CID,SID,target
0,5342432,333096538,0
1,1531854,333461953,0
2,780553,333246479,0
3,734064,333159273,0
4,5052640,333429003,0
5,4309951,332927044,0
6,46368666,333426803,0
7,922910,332888479,0
8,2835142,333301889,0
9,651895,333317887,0
10,2247590,333089709,1
11,135642166,332986730,0
12,5203427,321946129,0
13,953652,333151798,1
14,126461404,333050825,0
15,3510727,333381404,0
16,1355474,333094298,1
17,126468991,333247730,0
18,126468016,333199078,1
19,4754187,332881958,0
20,5210237,333321948,0
21,3362667,332985834,1
22,600141,333396516,0
23,3120224,333238659,0
24,24748008,333015039,0
25,1073661,333245700,1
26,708104,333325533,0
27,1373070,333099627,0
28,9624769,333186356,0
29,28783365,333055367,0
30,4154820,332901216,0
31,126468842,333239108,0
32,5337019,333404313,0
33,856623,333214215,0
34,46257939,333029783,1
35,648367,333206371,0
36,2910477,333359092,0
37,4714463,332982818,0
38,1019674,333287353,0
39,896007,333132455,0
40,2168582,333138595,0
41,16829982,332897168,1
42,3241486,333471630,0
43,3567964,333436996,0
44,117077718,310286170,0
45,6511090,332913782,0
46,3564138,333187654,1
47,46959800,333249968,0
48,4305600,332883801,1
49,560969,333353825,0
50,984063,333291497,0
51,5223441,333416755,0
52,5442607,333104869,0
53,992719,333172440,0
54,645255,333207920,0
55,51217945,333040506,0
56,16013906,333032806,0
57,2388429,332913675,0
58,117083053,310291492,0
59,708595,333332575,0
60,696630,333362728,0
61,4081042,333005064,0
62,1452721,333223867,0
63,42916923,332902904,0
64,24978537,333472614,1
65,4094142,333455154,0
66,1102000,333280145,0
67,770795,333281647,0
68,562728,332956734,0
69,2532204,332938793,0
70,4100007,333471928,0
71,3155313,333199022,0
72,3208553,333204391,0
73,6277225,333024008,0
74,1201339,333118818,0
75,135456838,333311399,0
76,4916085,332962418,0
77,20908503,333038023,0
78,1205277,333338235,0
79,722568,333427861,0
80,3735971,332981386,1
81,135627828,332986426,0
82,20961006,333477360,1
83,16194108,332972304,0
84,1090073,333197031,0
85,2471334,333168802,0
